Dewpoint,Samples,SamplingDuration,Pressure,Latitude,Longitude
1.5045,43,4.58968059,1061,37.82,-122.27
1.1108,41,4.473611111,1959,37.82,-122.27
1.2475,52,4.075,1162,37.82,-122.27
1.6098,52,5.021459227,701,37.82,-122.28
1.4113,52,4.295454545,576,37.82,-122.28
1.5057,52,4.77992278,622,37.82,-122.28
0.8172,52,6.102459016,728,37.82,-122.28
1.2171,52,4.5625,1074,37.82,-122.28
2.5625,2,2.771929825,94,37.82,-122.29
3.3929,52,5.994652406,554,37.83,-122.29
6.1183,49,5.869565217,86,37.82,-122.29
0.9011,50,6.229508197,377,37.81,-122.29
1.191,52,7.698113208,521,37.81,-122.3
2.5938,48,6.22556391,392,37.81,-122.3
1.1667,52,5.401069519,604,37.81,-122.3
0.8056,48,4.38253012,788,37.81,-122.3
2.6094,52,6.986394558,492,37.8,-122.29
1.8516,52,6.975609756,274,37.81,-122.3
0.9802,46,4.584288052,1823,37.81,-122.29
1.7719,26,6.047244094,392,37.81,-122.29
0.7286,46,3.375451264,582,37.81,-122.29
1.75,49,5.552631579,560,37.81,-122.29
0.4999,46,1.714285714,18,37.81,-122.29
2.483,20,6.278195489,290,37.81,-122.29
0.9241,17,2.817767654,762,37.81,-122.28
2.4464,36,5.724950884,1236,37.81,-122.28
1.1111,19,5.830917874,721,37.81,-122.28
0.8026,23,5.369230769,1054,37.81,-122.29
2.0114,38,4.412903226,344,37.8,-122.28
1.5,17,3.197231834,609,37.81,-122.28
1.1667,52,3.75,183,37.81,-122.27
1.5208,52,3.908045977,200,37.81,-122.28
0.8075,52,2.490322581,346,37.81,-122.28
1.8088,35,5.609467456,467,37.81,-122.28
2.4083,52,6.72173913,377,37.81,-122.28
0.977,40,2.315789474,582,37.81,-122.27
0.76,10,2.651515152,546,37.81,-122.27
0.9722,10,2.692307692,125,37.8,-122.27
1.2434,52,2.929411765,396,37.8,-122.27
2.0938,16,2.745856354,800,37.8,-122.27
0.8668,52,2.443181818,904,37.8,-122.28
0.75,52,2.823529412,191,37.8,-122.28
2.6354,27,3.493377483,718,37.79,-122.27
1.8477,39,3.672376874,1327,37.8,-122.27
2.0096,36,2.294016358,3469,37.8,-122.26
2.8345,31,3.894915254,2048,37.82,-122.26
2.0062,29,3.681318681,202,37.81,-122.26
1.2185,22,2.9456,2024,37.82,-122.26
2.6104,37,3.707142857,1838,37.82,-122.26
2.4912,29,3.7248,2304,37.81,-122.25
3.2177,28,3.878423514,2563,37.81,-122.25
3.125,39,3.745614035,389,37.81,-122.25
2.5795,52,3.515497553,895,37.81,-122.25
2.8406,34,3.281721632,2689,37.81,-122.26
4.9306,52,6.18442623,674,37.82,-122.24
3.2727,52,4.442982456,709,37.81,-122.24
3.1691,52,4.165876777,686,37.81,-122.25
3.9,52,4.848189415,1444,37.82,-122.24
3.9063,28,4.16084788,1520,37.82,-122.25
5.0917,52,5.628458498,550,37.82,-122.25
2.6429,32,3.727005871,1806,37.82,-122.25
3.0233,26,3.253081348,1749,37.82,-122.25
3.1484,52,4.578034682,939,37.83,-122.25
3.4722,35,3.822274882,675,37.83,-122.25
3.1429,52,4.395189003,534,37.83,-122.25
2.4234,28,3.023479831,2558,37.83,-122.25
3.0897,52,4.040501446,1786,37.83,-122.25
5.8596,50,6.742627346,970,37.84,-122.23
5.2868,47,6.546391753,1098,37.84,-122.23
5.956,41,6.85106383,794,37.83,-122.24
4.9643,37,7.106382979,98,37.85,-122.24
6.3434,52,6.947890819,1061,37.85,-122.23
5.1773,52,6.358558559,1177,37.84,-122.24
7.2354,52,7.117166213,901,37.85,-122.24
5.457,28,5.530334728,2031,37.85,-122.22
7.5,50,6.127348643,1031,37.84,-122.22
6.0194,44,5.735343384,1358,37.84,-122.21
7.5544,40,7.631498471,1616,37.83,-122.21
6.0666,30,6.44606414,844,37.84,-122.2
7.0548,34,6.125,1140,37.84,-122.21
11.6017,18,8.335051546,533,37.84,-122.19
7.4882,35,6.467268623,1072,37.84,-122.2
6.8976,34,6.61227154,1627,37.83,-122.21
8.2049,28,6.978947368,463,37.83,-122.19
8.401,26,7.530805687,542,37.83,-122.2
6.8538,29,6.657992565,661,37.83,-122.19
8.317,32,6.977186312,635,37.82,-122.19
7.0175,37,6.982954545,420,37.82,-122.2
6.3302,39,7.54,1265,37.82,-122.2
6.3624,30,5.615384615,126,37.81,-122.18
7.0549,52,6.785714286,813,37.82,-122.21
6.7851,45,6.957746479,1067,37.81,-122.2
2.8929,50,5.132246377,1260,37.8,-122.21
3.0812,38,4.628336756,951,37.8,-122.21
5.2402,52,6.200892857,510,37.81,-122.21
6.5217,52,6.399350649,765,37.81,-122.22
3.2632,52,4.745652174,1129,37.8,-122.22
3.0298,52,5.183673469,1073,37.8,-122.22
4.5428,52,5.283495146,1185,37.8,-122.22
4.072,52,5.952941176,756,37.81,-122.22
5.3509,52,5.650671785,1034,37.81,-122.22
3.1603,52,4.4291939,787,37.8,-122.23
4.7708,52,6.727699531,612,37.81,-122.23
8.1564,52,7.702631579,1021,37.81,-122.22
8.8793,52,8.972868217,861,37.81,-122.23
6.8591,52,7.599388379,953,37.81,-122.24
6.0302,52,5.8203125,634,37.81,-122.24
7.508,52,7.994318182,878,37.81,-122.23
2.7477,52,4.333333333,918,37.81,-122.24
2.1944,52,5.074285714,360,37.8,-122.24
3.0149,52,4.276639344,1197,37.8,-122.25
3.675,52,4.851351351,1048,37.81,-122.24
3.225,46,4.326639893,1373,37.81,-122.25
2.9345,42,4.0591133,1715,37.8,-122.25
2.1429,43,3.274238227,1359,37.8,-122.25
1.6121,41,3.561743341,1062,37.8,-122.25
1.3929,29,3.192755498,1335,37.8,-122.25
2.3173,27,3.804195804,1171,37.79,-122.24
1.7772,45,3.882608696,1475,37.79,-122.25
2.6458,50,3.209183673,742,37.79,-122.25
2.181,52,3.688705234,1086,37.79,-122.25
2.2303,36,3.090239411,1645,37.8,-122.25
1.6504,43,3.639751553,1710,37.8,-122.25
2.2697,52,4.368421053,731,37.8,-122.24
2.1563,52,4.585014409,1118,37.8,-122.24
2.1348,52,4.734328358,1006,37.8,-122.24
2.6292,47,3.693140794,1213,37.8,-122.24
2.3833,52,4.638132296,772,37.8,-122.23
2.957,52,4.496259352,1321,37.8,-122.24
2.5238,49,4.192023634,1487,37.8,-122.24
1.9375,52,4.209677419,488,37.8,-122.23
1.9028,51,4.056122449,949,37.8,-122.23
2.25,50,4.207228916,1149,37.8,-122.23
2.3929,52,4.471428571,844,37.8,-122.23
2.1917,43,4.844029245,4367,37.79,-122.23
2.9357,52,4.327669903,1659,37.79,-122.23
1.8854,30,3.798479087,1011,37.79,-122.23
2.1638,39,3.776349614,1464,37.79,-122.24
2.125,47,4.528052805,1237,37.79,-122.24
3.375,52,4.011904762,647,37.79,-122.24
2.2542,43,4.554621849,1284,37.79,-122.24
2.1,51,3.181818182,228,37.79,-122.25
1.6,39,3.74796748,381,37.79,-122.25
3.625,52,3.973568282,846,37.79,-122.25
1.6929,20,3.51035503,1659,37.8,-122.26
1.6471,52,2.833333333,520,37.77,-122.22
2.59,52,4.38996139,866,37.77,-122.22
2.57,52,4.202185792,612,37.77,-122.23
2.6429,52,3.746031746,415,37.78,-122.23
3.0257,52,4.046948357,994,37.78,-122.23
1.4886,50,4.025157233,1525,37.78,-122.22
1.9338,43,3.242009132,1506,37.78,-122.23
1.4844,52,3.866666667,1008,37.78,-122.23
1.6009,44,3.115845539,2813,37.78,-122.23
2.0375,48,4.944606414,1481,37.79,-122.23
2.293,49,5.365296804,859,37.79,-122.23
2.1494,37,4.479923518,1608,37.79,-122.22
1.6198,30,4.357142857,425,37.79,-122.23
1.3281,40,5.054347826,564,37.79,-122.23
3.5156,44,5.466911765,961,37.79,-122.22
3.9048,52,4.998540146,2273,37.79,-122.22
3.0893,52,3.907692308,600,37.79,-122.21
2.6042,46,4.489563567,1647,37.79,-122.22
2.5,49,4.306603774,1201,37.79,-122.22
2.7969,38,4.626707132,2167,37.79,-122.22
2.8321,29,4.823529412,939,37.79,-122.2
2.9583,47,5.284246575,859,37.79,-122.21
2.8365,34,4.581395349,1517,37.79,-122.21
2.875,35,4.520725389,1143,37.79,-122.21
3.0682,39,4.316810345,1109,37.8,-122.21
3.0757,39,4.524663677,1221,37.8,-122.21
4.9559,43,6.692307692,1115,37.8,-122.2
4.7721,52,5.77238806,706,37.8,-122.2
3.4861,52,4.984419263,1883,37.8,-122.21
5.1184,41,6.088235294,804,37.8,-122.2
4.0977,48,5.242063492,506,37.8,-122.21
4.744,48,7.117647059,610,37.8,-122.19
4.2727,46,5.837349398,768,37.8,-122.19
2.9844,50,5.260869565,462,37.79,-122.19
4.1739,40,4.510638298,667,37.79,-122.2
3.8487,46,5.115288221,1059,37.8,-122.2
4.0114,52,6.545126354,637,37.8,-122.19
4.6563,45,5.986784141,1106,37.79,-122.19
2.9297,28,4.69955157,1737,37.79,-122.19
2.3036,35,4.620512821,1009,37.79,-122.2
2.6667,49,4.2,737,37.79,-122.2
2.619,44,3.301425662,1354,37.79,-122.2
2.4167,45,4.462025316,1530,37.79,-122.21
2.7788,45,4.210416667,1410,37.79,-122.2
2.7352,46,3.934973638,1390,37.78,-122.21
1.8472,52,5.49070632,1065,37.78,-122.21
2.6583,52,4.310204082,792,37.78,-122.21
3.0536,49,3.665306122,779,37.78,-122.21
2.3906,44,4.86557377,2269,37.78,-122.22
1.7188,43,4.181818182,1227,37.78,-122.21
2.625,47,3.65560166,753,37.78,-122.21
2.8015,40,3.659259259,547,37.77,-122.22
1.7276,50,4.036363636,1807,37.78,-122.22
2.0801,44,3.38989899,1700,37.78,-122.22
2.489,51,4.165394402,1543,37.78,-122.22
1.7546,52,4.733333333,1085,37.76,-122.21
4.0904,52,4.313868613,353,37.77,-122.21
2.6765,52,5,473,37.77,-122.21
2.4338,49,4.703933747,1621,37.77,-122.2
2.3309,46,3.485875706,1183,37.77,-122.21
2.2604,43,3.671480144,836,37.77,-122.21
1.8039,42,3.543726236,900,37.77,-122.19
2.2562,39,5.00744879,1888,37.77,-122.2
2.0562,41,4.536656891,1024,37.77,-122.2
3.5398,52,5.437352246,1225,37.78,-122.2
3.1167,39,4.659574468,1071,37.78,-122.2
2.5401,50,4.939153439,1128,37.78,-122.2
2.898,43,5.020661157,1537,37.77,-122.2
2.3125,44,4.399491094,1240,37.78,-122.21
2.875,52,6.107142857,469,37.78,-122.19
3.3715,52,5.105882353,1086,37.77,-122.19
3.5114,52,5.585131894,1144,37.77,-122.19
4.3125,52,6.645333333,1109,37.78,-122.19
3.22,52,5.956639566,984,37.78,-122.19
3.875,33,3.021276596,575,37.78,-122.18
5.2328,49,5.660287081,496,37.78,-122.19
3.7262,52,5.631578947,555,37.78,-122.19
4.5893,45,5.400611621,869,37.78,-122.2
5.2578,39,5.820754717,236,37.79,-122.18
7.0875,41,6.593457944,626,37.79,-122.18
3.9712,46,6.410334347,922,37.79,-122.18
2.9514,47,4.80078125,582,37.79,-122.19
2.6667,50,4.746268657,546,37.79,-122.19
5.4446,37,6.176691729,620,37.81,-122.18
6.2838,34,6.948717949,442,37.8,-122.18
6.7527,23,7.06402439,955,37.8,-122.18
7.0712,24,7.589506173,916,37.77,-122.13
5.9849,22,6.528723945,4985,37.79,-122.16
3.6875,42,5.707865169,651,37.78,-122.17
2.875,30,4.731152205,1704,37.77,-122.17
3.4205,43,4.877149877,1085,37.78,-122.18
3.2984,50,5.781690141,713,37.78,-122.18
3.875,49,4.933701657,468,37.78,-122.17
4.175,52,5.396694215,296,37.78,-122.17
4.375,47,5.76146789,570,37.77,-122.16
4.7708,48,5.427777778,446,37.77,-122.16
3.5739,45,6.052083333,968,37.77,-122.16
3.0958,39,5.009493671,857,37.77,-122.16
3.3958,39,5.00621118,912,37.77,-122.17
1.871,31,5.362831858,1360,37.77,-122.17
1.9356,41,4.490140845,1074,37.76,-122.17
2.1842,47,5.544502618,965,37.76,-122.17
2.2917,37,4.921875,933,37.76,-122.18
2.4333,38,4.983050847,987,37.76,-122.17
1.9479,50,4.825203252,907,37.76,-122.18
3.9063,52,4.56969697,447,37.76,-122.18
1.8407,49,5.11751663,1299,37.76,-122.18
2.0786,27,5.789808917,396,37.77,-122.18
2.8125,42,4.402985075,877,37.77,-122.18
1.8913,43,5.498637602,1111,37.76,-122.18
1.7056,49,5.085501859,790,37.76,-122.19
2.2768,52,4.953068592,1479,37.77,-122.18
3.2552,51,4.810502283,1173,37.77,-122.18
2.0556,52,4.775956284,1029,37.77,-122.18
2.4659,52,5.782857143,1030,37.76,-122.19
1.75,47,4,826,37.76,-122.2
2.0469,41,4.484581498,1412,37.77,-122.19
2.7159,45,5.306590258,1132,37.77,-122.19
1.2083,41,5.79245283,522,37.76,-122.19
1.925,45,4.198312236,630,37.76,-122.19
1.5809,36,4.556390977,531,37.75,-122.2
1.4097,37,4.017991004,1925,37.76,-122.2
0.7683,38,4.253561254,1144,37.76,-122.19
1.3194,19,4.244230769,1481,37.75,-122.19
0.8012,28,5.283950617,435,37.75,-122.19
1.9479,26,4.267326733,984,37.76,-122.19
1.1765,36,5.327044025,567,37.74,-122.19
2.3456,42,4.398373984,380,37.74,-122.18
2.1538,44,4.368852459,825,37.73,-122.19
2.5139,43,4.561290323,417,37.74,-122.19
1.2625,45,5.324041812,801,37.73,-122.19
2.9063,42,4.590909091,646,37.73,-122.18
2.5192,43,4.880701754,855,37.73,-122.18
2.1111,44,4.029411765,435,37.73,-122.18
2.455,42,5.223076923,2736,37.73,-122.18
2.4028,41,3.896135266,1481,37.74,-122.17
2.15,47,3.379562044,327,37.74,-122.17
2.4776,43,4.569832402,494,37.74,-122.17
2.1587,43,4.319648094,1231,37.73,-122.17
1.8438,35,4.623853211,323,37.74,-122.18
3.0298,46,4.56,749,37.74,-122.17
2.25,46,4.320224719,693,37.74,-122.17
2.2467,46,5.940677966,1339,37.74,-122.18
4.0469,45,4.125,282,37.75,-122.18
1.325,46,4.825641026,621,37.75,-122.18
1.6196,38,3.83011583,732,37.75,-122.17
2.1731,45,3.807692308,901,37.75,-122.18
1.9167,36,7.506666667,482,37.75,-122.19
2.069,43,4.863849765,652,37.75,-122.18
1.712,36,6.307228916,651,37.75,-122.18
2.5625,33,4.475524476,999,37.76,-122.17
1.9821,43,5.18627451,907,37.75,-122.17
2.5043,41,5.465217391,828,37.75,-122.17
2.3281,44,4.795275591,763,37.75,-122.17
1.4375,48,5.017191977,935,37.75,-122.17
2.5122,45,4.75,1437,37.76,-122.16
1.5625,38,5.097510373,1516,37.75,-122.16
3.1587,47,5.394594595,597,37.75,-122.17
1.8426,40,4.926900585,949,37.76,-122.17
4.6696,46,6.049668874,881,37.76,-122.16
2.4598,36,5.358381503,1438,37.76,-122.16
6.0749,39,6.751851852,763,37.76,-122.15
4.8304,27,6.278873239,1297,37.77,-122.14
5.5701,34,7.170616114,545,37.76,-122.14
5.37,26,6.127579737,1222,37.76,-122.13
6.86,33,8.260273973,808,37.75,-122.12
7.6923,28,7.28440367,329,37.75,-122.12
4.0313,36,6.330275229,299,37.75,-122.14
6.8323,33,6.603960396,579,37.75,-122.14
4.975,30,8.28,137,37.75,-122.13
5.3602,36,8.258064516,229,37.75,-122.13
5,41,6.790123457,1476,37.74,-122.13
2.925,46,6.194805195,429,37.75,-122.16
3.8913,40,5.666666667,849,37.75,-122.15
3.225,44,5.854984894,946,37.75,-122.15
3.1458,41,4.481675393,571,37.74,-122.15
2.537,24,4.637305699,1137,37.75,-122.16
2.5568,44,4.57037037,378,37.75,-122.16
3.5083,43,5.084558824,853,37.74,-122.15
3.3125,49,4.69858156,764,37.74,-122.15
1.8235,40,4.701149425,928,37.75,-122.16
3.8047,35,5.015037594,406,37.75,-122.16
2.2917,34,4.367857143,824,37.74,-122.17
2.4962,37,5.324324324,835,37.75,-122.17
4.0417,43,5.2,826,37.74,-122.16
3.4844,46,4.876777251,567,37.74,-122.16
4.1458,52,5.354166667,355,37.74,-122.16
2.625,47,4.963855422,533,37.74,-122.16
2.0227,44,5.102325581,609,37.74,-122.16
3.3333,49,5.436440678,576,37.9,-122.29
5.338,52,5.608391608,594,37.9,-122.29
3.4732,52,5.962864721,870,37.89,-122.29
3.5125,38,4.445972495,1027,37.9,-122.3
3.1375,52,4.819018405,693,37.89,-122.29
2.8036,46,4.053333333,815,37.89,-122.3
4.5824,15,4.435427574,2420,37.9,-122.3
3.0208,36,3.902173913,518,37.89,-122.3
4.0875,52,4.538181818,620,37.89,-122.3
4.5268,42,5.045112782,551,37.89,-122.33
1.7375,37,3.312770563,2556,37.88,-122.34
3.1795,52,4.556034483,1498,37.89,-122.29
3.8672,50,5.334801762,523,37.88,-122.29
5.1675,52,6.39869281,374,37.89,-122.29
5.1696,52,6.115902965,1004,37.89,-122.29
4.2614,52,5.520958084,769,37.88,-122.28
5.0551,52,5.14893617,940,37.89,-122.29
5.6228,42,6.4453125,645,37.9,-122.27
7.8864,52,6.690972222,705,37.9,-122.26
7.9556,52,7.56,684,37.9,-122.27
6.174,52,7.639830508,572,37.9,-122.27
6.9414,52,8.067193676,671,37.9,-122.27
8.8342,52,8.345205479,975,37.89,-122.27
7.1754,52,7.429487179,779,37.9,-122.28
10.0825,52,8.209016393,658,37.9,-122.28
4.9083,52,6.749253731,819,37.9,-122.28
5.7912,52,7.291666667,412,37.89,-122.28
4.5893,52,6.273712737,835,37.89,-122.28
5.4171,52,6.764705882,722,37.89,-122.28
4.125,52,5.371663244,1085,37.89,-122.28
7.266,52,7.436619718,973,37.89,-122.27
5.3989,52,7.272058824,723,37.89,-122.27
7.8336,37,6.132596685,903,37.9,-122.26
6.1593,41,6.215469613,356,37.89,-122.25
6.381,52,6.662337662,1005,37.89,-122.26
6.6828,52,7.353174603,1205,37.89,-122.26
7.5385,37,6.666666667,987,37.89,-122.25
6.7138,42,6.390625,1031,37.89,-122.25
6.2425,52,6.314356436,894,37.88,-122.26
5.7979,52,5.981432361,823,37.88,-122.26
4.2813,52,5.410628019,1232,37.88,-122.27
3.5417,52,4.613079019,669,37.88,-122.27
3.0132,44,4.094545455,989,37.88,-122.27
4.1429,52,5.377155172,1058,37.88,-122.28
4.1912,52,5.763285024,506,37.88,-122.28
3.9167,52,5.376146789,489,37.88,-122.28
3.8897,52,5.56443299,824,37.88,-122.29
3.1065,48,4.978947368,1034,37.88,-122.29
2.9926,46,4.458823529,920,37.88,-122.29
3.556,52,4.342105263,841,37.88,-122.29
1.475,45,3.306569343,749,37.88,-122.3
1.6971,52,4.173469388,208,37.88,-122.3
2.1705,10,5.03,228,37.87,-122.3
2.75,50,3.8984375,287,37.86,-122.3
2.5682,52,4.5,218,37.85,-122.29
2.9,46,4.63943662,854,37.88,-122.3
2.2208,52,4.565789474,1695,37.87,-122.3
3.2344,52,5.563953488,403,37.88,-122.28
3.5156,52,4.496183206,288,37.87,-122.28
1.9805,49,3.888675624,963,37.87,-122.28
2.6684,50,3.544573643,1129,37.87,-122.29
3.875,52,4.387254902,386,37.87,-122.29
3.006,52,4.701970443,811,37.88,-122.28
2.543,46,4.477037037,1293,37.87,-122.28
2.8676,46,4.122969838,805,37.87,-122.28
2.1907,52,3.199771689,1372,37.88,-122.27
1.7778,30,3.447058824,862,37.87,-122.27
2.52,37,4.251623377,1152,37.88,-122.27
4.2788,52,4.614457831,483,37.88,-122.26
2.944,52,4.12390925,1558,37.88,-122.26
1.725,52,3.386215865,1798,37.88,-122.26
5.2289,41,5.569105691,266,37.87,-122.25
2.5562,42,4.161137441,2184,37.87,-122.25
0.949,52,2.524109015,2016,37.87,-122.25
1.1696,52,2.436,1349,37.87,-122.25
1.4012,52,3.105714286,3337,37.87,-122.26
1.1859,52,2.922023182,1721,37.87,-122.26
1.7464,35,3.218,1675,37.87,-122.27
2.8846,49,3.857142857,707,37.87,-122.27
2.7372,52,4.443804035,1424,37.87,-122.27
3.8594,52,4.962962963,393,37.86,-122.28
3.5625,52,5.348082596,828,37.87,-122.28
2.2788,52,4.22260274,571,37.87,-122.28
2.537,44,3.561009818,1382,37.87,-122.29
2.525,46,3.947040498,792,37.87,-122.29
1.9946,52,4.475806452,815,37.86,-122.29
2.8214,52,4.794797688,788,37.86,-122.28
2.6165,52,5.174418605,1145,37.87,-122.29
1.9483,50,4.413854352,1354,37.86,-122.29
1.9327,52,4.564044944,958,37.86,-122.28
1.9798,49,4.822368421,1361,37.86,-122.28
2.4167,52,5.002227171,1005,37.85,-122.28
2.5417,49,4.956521739,924,37.86,-122.27
3.3906,52,5.583798883,780,37.86,-122.28
2.5652,52,4.727987421,1582,37.86,-122.28
2.2845,41,3.897887324,1213,37.86,-122.28
2.6071,52,4.074906367,486,37.86,-122.27
3.15,52,4.765714286,494,37.86,-122.27
2.6914,52,4.846575342,849,37.86,-122.27
1.8447,52,4.209854015,1127,37.86,-122.27
1.6307,35,2.962686567,3276,37.86,-122.26
2.9044,52,4.404282116,1493,37.86,-122.26
2.9405,52,5.558173785,1461,37.86,-122.26
3.3893,52,5.36802974,1253,37.86,-122.26
3.0417,48,4.690631808,1656,37.86,-122.25
7.0897,52,6.876237624,514,37.86,-122.25
5.0463,52,5.793220339,719,37.86,-122.25
1.7652,52,3.534521158,878,37.86,-122.25
7.8521,52,7.794392523,517,37.86,-122.24
9.3959,52,7.512096774,1366,37.85,-122.24
5.3794,52,6.861016949,1316,37.86,-122.25
3.2619,52,4.79205298,1508,37.85,-122.26
2.7054,52,5.001226994,1800,37.85,-122.27
2.2431,47,6.371165644,719,37.85,-122.27
1.9028,50,5.015686275,675,37.85,-122.27
1.5817,52,5.438016529,875,37.85,-122.27
2.2841,52,4.350649351,152,37.85,-122.27
1.3785,47,4.310344828,843,37.85,-122.27
2.9018,52,4.621212121,281,37.85,-122.28
1.73,44,5.024509804,506,37.85,-122.28
2.2625,48,4.427038627,1054,37.85,-122.28
2.2106,35,4.52173913,1017,37.84,-122.29
2.6997,52,4.062745098,1623,37.83,-122.28
4.0018,14,3.586055583,3100,37.84,-122.3
7.8772,52,8.282548476,947,37.83,-122.23
11.8603,39,7.911111111,808,37.82,-122.22
13.499,42,8.928358209,1018,37.82,-122.22
12.2138,52,9.210227273,1001,37.82,-122.23
8.1872,52,8.268292683,1005,37.82,-122.23
12.3804,52,9.122715405,1192,37.82,-122.23
5.8948,52,7.740088106,585,37.83,-122.24
8.1194,52,7.75,916,37.83,-122.24
8.7477,52,9,556,37.82,-122.23
6.155,52,7.048076923,1470,37.82,-122.24
5.883,52,6.216080402,1104,37.82,-122.25
5.2128,52,5.862934363,1242,37.76,-122.23
4.7188,52,7.068535826,805,37.76,-122.23
5.2915,52,8.12345679,378,37.76,-122.23
2.6411,52,5.170403587,481,37.77,-122.24
3.3214,52,4.825,409,37.77,-122.23
3.6417,52,4.587131367,885,37.77,-122.24
3.0161,52,4.67372134,1468,37.77,-122.25
3.1771,52,4.827906977,482,37.77,-122.25
3.4531,52,5.784090909,825,37.77,-122.25
4.3098,52,5.436708861,429,37.77,-122.25
3.3438,52,4.663461538,528,37.78,-122.26
2.9213,52,4.837962963,496,37.78,-122.26
2.6806,52,5.313207547,718,37.78,-122.27
3.7708,52,4.611320755,630,37.78,-122.27
3.9444,45,4.087412587,723,37.78,-122.27
5.2601,13,4.156378601,959,37.78,-122.27
2.5444,30,4.847953216,3668,37.79,-122.28
2.6447,42,5.74084507,2037,37.77,-122.3
2.5762,29,4.048703849,3741,37.78,-122.28
1.9427,42,4.136666667,821,37.78,-122.29
2.9688,52,4.23054755,870,37.77,-122.28
3.75,27,4.137681159,1901,37.77,-122.28
5.1702,18,4.333333333,1243,37.76,-122.29
2.5139,50,4.547400612,730,37.78,-122.28
2.9732,52,5.585284281,793,37.77,-122.26
5.5337,52,5.188940092,1033,37.77,-122.27
4.1667,52,4.768595041,872,37.77,-122.27
2.7115,52,3.741794311,849,37.77,-122.27
3.3269,52,4.61003861,1121,37.77,-122.27
3.2685,52,4.84494382,872,37.77,-122.25
4.7778,52,5.269360269,637,37.77,-122.26
4.226,52,5.011764706,663,37.77,-122.26
3.3571,52,7.034883721,411,37.77,-122.26
2.9899,52,5.07748184,915,37.77,-122.26
2.875,52,3.874213836,921,37.77,-122.26
2.3882,43,3.590225564,585,37.77,-122.24
2.975,43,4.111111111,2086,37.77,-122.25
5.1039,52,5.628037383,1303,37.76,-122.23
4.1458,52,5.960227273,374,37.76,-122.23
3.4762,52,5.305084746,979,37.76,-122.24
2.6833,52,4.139013453,827,37.76,-122.24
5.75,52,6.739130435,658,37.76,-122.23
3.9632,50,5.753731343,654,37.75,-122.23
4.9489,45,6.102739726,384,37.75,-122.24
4.8711,27,5.08281054,1499,37.75,-122.24
3.0718,52,5.068965517,1128,37.76,-122.24
3.6719,49,4.93495935,1110,37.76,-122.24
4.6094,52,6.185542169,1119,37.76,-122.24
4.5213,21,5.693117409,2930,37.73,-122.24
4.4562,25,4.907692308,897,37.74,-122.25
7.611,5,6.855776306,7427,37.72,-122.24
3.2689,31,4.40929878,2973,37.73,-122.27
3.567,52,4.550632911,1340,37.76,-122.25
3.6875,28,4.655660377,2974,37.74,-122.27
4.7695,23,4.93397046,2690,37.77,-122.27
3.1972,20,3.54601227,583,37.75,-122.28
7.2634,12,7.13303438,5781,37.77,-122.06
